,file_name,extension,update_stamp,full_path,source
0,MET.enl,enl,2023-01-19 07:36:35,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.enl,dropbox
1,.DS_Store,DS_Store,2023-01-14 04:07:24,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/.DS_Store,dropbox
2,Anton-2021-Overexpression of c-Met is Associat.pdf,pdf,2022-07-25 18:01:36,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3755258196/Anton-2021-Overexpression of c-Met is Associat.pdf,dropbox
3,Chaiyong-2022-Evaluation of In Vitro Cytotoxic.pdf,pdf,2023-01-12 17:10:39,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3006968066/Chaiyong-2022-Evaluation of In Vitro Cytotoxic.pdf,dropbox
4,Yan-2022-Met-RANTES preserves the blood-brain.pdf,pdf,2023-01-04 11:19:59,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3172686008/Yan-2022-Met-RANTES preserves the blood-brain.pdf,dropbox
5,Lu-2022-Turning up the heat on non-immunoreact.pdf,pdf,2023-01-04 11:47:19,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2860117064/Lu-2022-Turning up the heat on non-immunoreact.pdf,dropbox
6,Thompson-2022-PSMA as a Theranostic Target in.pdf,pdf,2023-01-04 11:36:30,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1395235127/Thompson-2022-PSMA as a Theranostic Target in.pdf,dropbox
7,Al-Jammali-2022-Bradyarrhythmia After Remdesiv.pdf,pdf,2022-07-25 12:23:19,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2044897763/Al-Jammali-2022-Bradyarrhythmia After Remdesiv.pdf,dropbox
8,Stein-2021-Precision Medicine in Oncology_ A R.pdf,pdf,2023-01-04 11:21:22,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3520709987/Stein-2021-Precision Medicine in Oncology_ A R.pdf,dropbox
9,Beres-2022-[Usage of high-flow oxygen therapy.pdf,pdf,2023-01-04 11:50:02,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2229656756/Beres-2022-[Usage of high-flow oxygen therapy.pdf,dropbox
10,Gupta-2022-Dysglycemia screening with oral glu.pdf,pdf,2022-07-25 12:37:53,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3259267546/Gupta-2022-Dysglycemia screening with oral glu.pdf,dropbox
11,Gianoli-2022-Description of a New Labyrinthine.pdf,pdf,2022-07-25 12:37:25,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2534935307/Gianoli-2022-Description of a New Labyrinthine.pdf,dropbox
12,Topel-2021-High glucose induced c-Met activati.pdf,pdf,2022-08-03 17:09:36,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3006968068/Topel-2021-High glucose induced c-Met activati.pdf,dropbox
13,Zuo-2022-Effects on the Cell Barrier Function.pdf,pdf,2022-07-25 18:03:18,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0038649718/Zuo-2022-Effects on the Cell Barrier Function.pdf,dropbox
14,Cho-2021-Discrepancy between the Demand and Su.pdf,pdf,2023-01-04 11:21:51,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0352118605/Cho-2021-Discrepancy between the Demand and Su.pdf,dropbox
15,Ko-2022-Quick Sequential Organ Failure Assessm.pdf,pdf,2023-01-04 11:21:40,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1244316436/Ko-2022-Quick Sequential Organ Failure Assessm.pdf,dropbox
16,Zhang-2022-Exercise and Metformin Intervention.pdf,pdf,2023-01-04 11:46:18,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4013483728/Zhang-2022-Exercise and Metformin Intervention.pdf,dropbox
17,Nelson-2021-Evaluation of the Implementation o.pdf,pdf,2023-01-04 11:38:00,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0349517444/Nelson-2021-Evaluation of the Implementation o.pdf,dropbox
18,Berrondo-2022-Adherence to Perioperative Antib.pdf,pdf,2022-07-25 12:24:20,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2053999932/Berrondo-2022-Adherence to Perioperative Antib.pdf,dropbox
