,file_name,extension,update_stamp,full_path,source
0,MET.enl,enl,2023-01-05 10:33:31,/Volumes/portableSSD/Endnote/MET.enl,portableSSD
1,Main.enl,enl,2023-01-19 12:44:05,/Volumes/portableSSD/Endnote/Main.enl,portableSSD
2,._MET.Data,Data,2023-01-05 10:10:00,/Volumes/portableSSD/Endnote/._MET.Data,portableSSD
3,._Main.Data,Data,2023-01-05 10:32:34,/Volumes/portableSSD/Endnote/._Main.Data,portableSSD
4,._Main.enl,enl,2023-01-19 12:45:11,/Volumes/portableSSD/Endnote/._Main.enl,portableSSD
5,._MET.enl,enl,2023-01-05 10:37:26,/Volumes/portableSSD/Endnote/._MET.enl,portableSSD
6,.DS_Store,DS_Store,2023-01-05 10:09:01,/Volumes/portableSSD/Endnote/MET.Data/.DS_Store,portableSSD
7,._.DS_Store,DS_Store,2023-01-05 10:09:25,/Volumes/portableSSD/Endnote/MET.Data/._.DS_Store,portableSSD
8,._PDF,_PDF,2023-01-05 10:10:00,/Volumes/portableSSD/Endnote/MET.Data/._PDF,portableSSD
9,._sdb,_sdb,2023-01-05 10:10:00,/Volumes/portableSSD/Endnote/MET.Data/._sdb,portableSSD
10,._3755258196,_3755258196,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3755258196,portableSSD
11,._3172686008,_3172686008,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3172686008,portableSSD
12,._2860117064,_2860117064,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2860117064,portableSSD
13,._1395235127,_1395235127,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1395235127,portableSSD
14,._2044897763,_2044897763,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2044897763,portableSSD
15,._3520709987,_3520709987,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3520709987,portableSSD
16,._2229656756,_2229656756,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2229656756,portableSSD
17,._3259267546,_3259267546,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3259267546,portableSSD
18,._2534935307,_2534935307,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2534935307,portableSSD
19,._3006968068,_3006968068,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3006968068,portableSSD
20,._0038649718,_0038649718,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0038649718,portableSSD
21,._0352118605,_0352118605,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0352118605,portableSSD
22,._1244316436,_1244316436,2023-01-05 10:09:26,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1244316436,portableSSD
23,._4013483728,_4013483728,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._4013483728,portableSSD
24,._0349517444,_0349517444,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0349517444,portableSSD
25,._2053999932,_2053999932,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2053999932,portableSSD
26,._3456866951,_3456866951,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3456866951,portableSSD
27,._0309198986,_0309198986,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0309198986,portableSSD
28,._1335354339,_1335354339,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1335354339,portableSSD
29,._3439037745,_3439037745,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3439037745,portableSSD
30,._2407636607,_2407636607,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2407636607,portableSSD
31,._4204148803,_4204148803,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._4204148803,portableSSD
32,._0943947738,_0943947738,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0943947738,portableSSD
33,._2059344234,_2059344234,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2059344234,portableSSD
34,._1007277217,_1007277217,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1007277217,portableSSD
35,._4130428730,_4130428730,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._4130428730,portableSSD
36,._1402961681,_1402961681,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1402961681,portableSSD
37,._2059344233,_2059344233,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2059344233,portableSSD
38,._1395235128,_1395235128,2023-01-05 10:09:27,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1395235128,portableSSD
39,._0349517445,_0349517445,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0349517445,portableSSD
40,._4013483729,_4013483729,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._4013483729,portableSSD
41,._3651368885,_3651368885,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3651368885,portableSSD
42,._1244316437,_1244316437,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1244316437,portableSSD
43,._4005446152,_4005446152,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._4005446152,portableSSD
44,._2260289379,_2260289379,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2260289379,portableSSD
45,._2229656757,_2229656757,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2229656757,portableSSD
46,._3006968069,_3006968069,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3006968069,portableSSD
47,._0661761152,_0661761152,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0661761152,portableSSD
48,._2534935306,_2534935306,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2534935306,portableSSD
49,._4023125540,_4023125540,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._4023125540,portableSSD
50,._2044897762,_2044897762,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._2044897762,portableSSD
51,._1862875640,_1862875640,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1862875640,portableSSD
52,._0305197314,_0305197314,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0305197314,portableSSD
53,._1253207671,_1253207671,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._1253207671,portableSSD
54,._3172686009,_3172686009,2023-01-05 10:09:28,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3172686009,portableSSD
55,._0110613202,_0110613202,2023-01-05 10:09:29,/Volumes/portableSSD/Endnote/MET.Data/PDF/._0110613202,portableSSD
56,._3006968067,_3006968067,2023-01-05 10:09:29,/Volumes/portableSSD/Endnote/MET.Data/PDF/._3006968067,portableSSD
